point_up_tone2, 0x261d,0x1f3fc
point_up_tone3, 0x261d,0x1f3fd
point_up_tone4, 0x261d,0x1f3fe
point_up_tone5, 0x261d,0x1f3ff
raised_hand, 0x270b
raised_hand_tone1, 0x270b,0x1f3fb
raised_hand_tone2, 0x270b,0x1f3fc
raised_hand_tone3, 0x270b,0x1f3fd
raised_hand_tone4, 0x270b,0x1f3fe
raised_hand_tone5, 0x270b,0x1f3ff
raised_back_of_hand, 0x1f91a
raised_back_of_hand_tone1, 0x1f91a,0x1f3fb
raised_back_of_hand_tone2, 0x1f91a,0x1f3fc
raised_back_of_hand_tone3, 0x1f91a,0x1f3fd
raised_back_of_hand_tone4, 0x1f91a,0x1f3fe
raised_back_of_hand_tone5, 0x1f91a,0x1f3ff
hand_splayed, 0x1f590
hand_splayed_tone1, 0x1f590,0x1f3fb
hand_splayed_tone2, 0x1f590,0x1f3fc
hand_splayed_tone3, 0x1f590,0x1f3fd
hand_splayed_tone4, 0x1f590,0x1f3fe
hand_splayed_tone5, 0x1f590,0x1f3ff
vulcan, 0x1f596
vulcan_tone1, 0x1f596,0x1f3fb
vulcan_tone2, 0x1f596,0x1f3fc
vulcan_tone3, 0x1f596,0x1f3fd
vulcan_tone4, 0x1f596,0x1f3fe
vulcan_tone5, 0x1f596,0x1f3ff
wave, 0x1f44b
wave_tone1, 0x1f44b,0x1f3fb
wave_tone2, 0x1f44b,0x1f3fc
wave_tone3, 0x1f44b,0x1f3fd
wave_tone4, 0x1f44b,0x1f3fe
wave_tone5, 0x1f44b,0x1f3ff
call_me, 0x1f919
call_me_tone1, 0x1f919,0x1f3fb
call_me_tone2, 0x1f919,0x1f3fc
call_me_tone3, 0x1f919,0x1f3fd
call_me_tone4, 0x1f919,0x1f3fe
call_me_tone5, 0x1f919,0x1f3ff
muscle, 0x1f4aa
muscle_tone1, 0x1f4aa,0x1f3fb
muscle_tone2, 0x1f4aa,0x1f3fc
muscle_tone3, 0x1f4aa,0x1f3fd
muscle_tone4, 0x1f4aa,0x1f3fe
muscle_tone5, 0x1f4aa,0x1f3ff
middle_finger, 0x1f595
middle_finger_tone1, 0x1f595,0x1f3fb
middle_finger_tone2, 0x1f595,0x1f3fc
middle_finger_tone3, 0x1f595,0x1f3fd
middle_finger_tone4, 0x1f595,0x1f3fe
middle_finger_tone5, 0x1f595,0x1f3ff
writing_hand, 0x270d
writing_hand_tone1, 0x270d,0x1f3fb
writing_hand_tone2, 0x270d,0x1f3fc
writing_hand_tone3, 0x270d,0x1f3fd
writing_hand_tone4, 0x270d,0x1f3fe
writing_hand_tone5, 0x270d,0x1f3ff
selfie, 0x1f933
selfie_tone1, 0x1f933,0x1f3fb
selfie_tone2, 0x1f933,0x1f3fc
selfie_tone3, 0x1f933,0x1f3fd
selfie_tone4, 0x1f933,0x1f3fe
selfie_tone5, 0x1f933,0x1f3ff
nail_care, 0x1f485
nail_care_tone1, 0x1f485,0x1f3fb
nail_care_tone2, 0x1f485,0x1f3fc
nail_care_tone3, 0x1f485,0x1f3fd
nail_care_tone4, 0x1f485,0x1f3fe
nail_care_tone5, 0x1f485,0x1f3ff
ring, 0x1f48d
lipstick, 0x1f484
kiss, 0x1f48b
lips, 0x1f444
tongue, 0x1f445
